Location,Start Date,End Date,Deaths,Magnitude
Egypt-Syria,1201-07-05,,1100000,
China: Shanxi,1556-01-23,,830000,
NE China: Tangshan,1976-07-27,,655237,8
Caucasus,1139,,300000,6.8
China,1662,,300000,
India: Calcutta,1737-10-11,,300000,
Turkey: Antioch,0115,,260000,
Syria: Aleppo,1139,,230000,
India: Bay of Bengal Andaman Islands,1876,,215000,
Iran,0856-12-22,,200000,
Japan: Jeddo,1703,,200000,
Iran: Tabriz,1780-01-08,,200000,
China: Gansu and Shanxi,1920-12-16,,200000,8.5
China: Qinghai,1927-05-22,,200000,8.3
Haiti,2010-01-12,,200000,7
Iran-Armenia,0893-12-14,,180000,
Sumatra,2004-12-26,,160000,9
Japan: Tokyo-Yokohama,1923-09-01,,142807,8.2
Japan: Hokkaido,1730-12-30,,137000,
Syria-Turkey,0533-11-23,,130000,
Italy: Messina Sicily,1908-12-28,,110000,7.5
Iraq,1007,,100000,
Egypt-Syria,1138,,100000,
Greece: Aegean,1201,,100000,
China: Chihli,1290-09-27,,100000,6.7
Italy: Sicily,1693-01-09,,100000,
China: Beijing,1731-11-30,,100000,
Iran: Tabriz,1779,,100000,
Iran-Caucasus,1780,,100000,
Java,1883-08-26,,100000,
Peru,1970-05-31,,70000,7.8
