Event,Start Date,End Date
Byzantium delegation asks for Urban's help against the Turks,1095-03,
Pope Urban II preaches the First Crusade,1095-11-27,
Fatimids retake Jerusalem from Seldjuks,1096,
Massacres of Jews,1096-03,1096-09
"First wave (People's Crusade) leaves; 3 armies don't make it past Hungary",1096-03,1096-06
Peter the Hermit and Walter Sansavoir reach Constantinople,1096-08-01,
Official start of First Crusade as set by Pope Urban II,1096-08-15,
Armies under Peter and Walter destroyed at Nicaea by Kilij Arslan,1096-10-06,
Leaders (and armies) of the second wave (official First Crusade) arrive at staggered times at Constantinople. Alexius I Comnenus asks for and receives oaths of fealty and promises to return lands formerly under Byzantine control,1096-09,1096-12
Crusaders cross the Bosporus,1097-04,1097-04
"Crusaders arrive at Nicaea, Kilij Arslan is absent, fighting Danishmend",1097-06,
Nicaea surrenders to Byzantium (not the crusaders),1097-06-19,
Crusaders head into Asia Minor,1097-06-26,1097-06-28
Turks under Kilij Arslan unsuccessfully attack the crusaders at Dorlyaeum,1097-07-01,
"Crusaders reach Antioch, which is ruled by Yaghi-Suyan",1097-10-21,
Muslim relief force under Kerbogha (Karbuqa) of Mosul heading to Antioch,1098-02,
Baldwin reaches Edessa (al-Ruha to Arabs) whose prince is Thoros,1098-02-06,
Thoros killed in riot,1098-03-09,
Baldwin takes control of Edessa. Start of the first Latin settlement in the East,1098-03-10,
"Firuz, a garrison captain of Edessa, lets crusaders into city; Yaghi-Suyan flees; crusaders take city",1098-06-02,1098-06-03
Muslim army under Kerbogha arrives and besieges the crusaders in Antioch,1098-06-05,
Crusaders believe they have found the Holy Lance,1098-06-14,
crusaders attack besiegers and win; they then decide to wait out the summer before continuing,1098-06-28,
"Adhémar of Le Puy dies, exacerbating crusaders' leadership problems",1098-08-01,
"Armies of Raymond of St. Gilles and Robert of Flanders arrive at Ma'arat en Nu'man (rank-and-file force the march)",1098-11,
Ma'arat en Nu'man falls to the crusaders,1098-12-11,
Crusaders practice cannibalism at Ma'arra,1098,
Rank-and-file force Raymond to continue to Jerusalem,1099-12-13,
Rank-and-file at Antioch force continuance to Jerusalem,1099-02,
Crusaders start to besiege 'Arqah,1099-02-14,
Crusaders give up on siege of 'Arqah and continue to Jerusalem,1099-05-13,
Tancred seizes Bethelham,1099-06-06,
Most of the crusaders arrive at Jerusalem,1099-06-07,
Penitential procession of crusaders around Jerusalem,1099-07-08,
Crusaders seize and sack Jerusalem,1099-07-15,
Godfrey elected ruler of settlement at Jerusalem,1099-07-22,
"Pope Urban II dies, never hearing news of capture of Jerusalem",1099-07-19,
Crusaders defeat Egyptian army at Ashdod,1099-08-11,1099-08-12
al-Harawi of Damascus leads group of refugees to Baghdad to protest lack of action by leaders,1099,
Baldwin becomes the first king of Jerusalem,1100,
Danishmend captures Bohemund,1100,
Pope Paschal II preaches crusade; threatens deserters and those with unfulfilled crusade vows with excommunication,1100-11-15,
Next wave of crusaders defeated in Asia Minor,1101,
Baldwin takes Acre,1104,
"Muslims defeat Franks at Harran, stopping (momentarily at least) their eastward drive",1104,
"Two coalitions, both of Franks and Muslims, fight near Tel Bashir",1108,
Tripoli falls to the crusaders after 2000 days of siege,1109,
Beirut and Saida seized by crusaders,1110,
