Title,Start Date,End Date
American Revolutionary War,1775-04-19,1783-09-03
Chickamunga War,1776,1795
Northwest Indian War,1785,1795
Shays' Rebellion,1786-08-31,1787-06
Whiskey Rebellion,1791,1794
Quasi-War,1798-07-07,1800-09-30
First Barbary War,1801-05-10,1805-06-10
German Coast Uprising,1811-01-08,1811-01-10
Tecumseh's War,1810-08,1813-10-05
War of 1812,1812-06-18,1815-02-18
Creek War,1813,1814-08
Second Barbary War,1815-06-17,1815-06-19
First Seminole War,1814,1819
Texas-Indian Wars,1820,1875
Arikara War,1823,1823
Aegean Sea Anti-Piracy Operatons,1825,1828
Winnebago War,1827,1827
First Sumatran Expedition,1832-02-06,1832-02-06
Black Hawk War,1832-04-06,1832-08-27
Second Seminole War,1835-12-23,1842-08-14
Second Sumatran Expedition,1838-12,1839-01
Aroostook War,1838,1839
Mexican-American War,1846-04-25,1848-02-03
Cayuse War,1847,1855
Apache Wars,1849,1924
Puget Sound War,1855,1856
First Fiji Expedition,1855-10,1855-10
Rogue River Wars,1855,1856
Third Seminole War,1855,1858
Yakima War,1855,1858
Second Opium War,1856-10-08,1860-10-24
Utah War,1857-03,1858-07
Navajo Wars,1858,1866
Second Fiji Expedition,1859-10-06,1859-10-16
The Raid on Harper's Ferry,1859-10-16,1859-10-18
First Cortina War,1859,1860
Second Cortina War,1861,1861
Paiute War,1860,1860
American Civil War,1861-04-12,1865-05-09
Yavapai Wars,1861,1875
Dakota War of 1862,1862-08-17,1862-12-26
Colorado War,1863,1865
Shimonoseki Campaign,1863,1864
Snake War,1864,1868
Powder River Expedition,1865-07-01,1865-10-04
Red Cloud's War,1866,1868
Formosa Expedition,1867-06,1867-06
Comanche Campaign,1867,1875
United States Expedition to Korea,1871-06-01,1871-07-03
Modoc War,1872-07-06,1873-06-04
Red River War,1874,1875
Las Cuevas War,1875-11-20,1875-11-21
Great Sioux War of 1876,1876,1877
Buffalo Hunters' War,1876,1877
Nez Perce War,1877-06,1877-10
Bannock War,1878,1878
Northern Cheyenne Exodus,1878-09,1879-04
Sheepeater Indian War,1879,1879
Victorio's War,1879,1881
White River War,1879,1879
Wounded Knee Massacre,1890-12-29,
Garza Revolution,1891-09-15,1893-03
Yaqui Wars,1896,1918
Second Samoan Civil War,1898,1899
Spanish-American War,1898-04-21,1898-08-13
Philippine-American War,1899-02-04,1902-07-02
Moro Rebellion,1899,1913
Boxer Rebellion,1899-11-02,1901-09-07
Crazy Snake Rebellion,1909-03,1909-03
Border War,1910,1919
Negro Rebellion,1912,1912
Occupation of Nicaragua,1912,1933
Bluff War,1914-03,1915-03-11
Occupation of Veracruz,1914-04,1914-11
Occupation of Haiti,1915-07-28,1934-08-01
Sugar Intervention,1917,1922
Occupation of the Dominican Republic,1916,1924
World War I,1914-07-28,1918-11-11
Russian Civil War,1918,1920
Posey War,1923-03-20,1923-03-23
World War II,1939-09-01,1945-08-02
Korean War,1950-06-25,1953-07-27
Lebanon Crisis,1958-07-15,1958-10-25
Bay of Pigs Invasion,1961-04-17,1961-04-20
Simba Rebellion,1964-01,1964-11
Dominican Civil War,1965-04-24,1965-09-03
Vietnam War,1955-11-01,1975-04-30
Communist Insurgency in Thailand,1965,1983
Shaba II,1978-05-11,1978-06
Multinational Force in Lebanon,1982-08-25,1984-03-31
Invasion of Granada,1983-10-25,1983-10-29
Bombing of Libya,1986-04-15,
Tanker War,1987,1988
Invasion of Panama,1989-12-20,1990-01-31
Gulf War,1990-08-02,1990-08-04
Unified Task Force,1992-12-09,1993-05-04
Operation Uphold Democracy,1994-09-19,1995-03-31
Bosnian War,1992-04-06,1995-12-14
Kosovo War,1998-02,1999-06-11
War in Afghanistan,2001-10-07,present
Iraq War,2003-03-20,2011-12-18
War in North-West Pakistan,2004-03-15,present
2011 Military Intervention in Libya,2011-03-19,2011-10-31
War on ISIL,2014-06-13,present
Yemeni Civil War,2015-03-19,present
